exercice_de_la_premiere_decision;famille_de_procedure_du_dossier;dossier;beneficiaire;type_de_tiers;commission;montant_vote;localisation_projet;montant_vote_par_localisation;pourcentage_de_la_localisation;adresse_administrative_du_tiers_beneficiaire;adresse_administrative_code_postal_du_tiers_beneficiaire;adresse_administrative_ville_du_tiers_beneficiaire;adresse_administrative_code_departement_du_tiers_beneficiaire;wgs84
2012;Subventions spécifiques de fonctionnement;"ASSOCIATION 95 EVENEMENT - FESTIVAL MUSIQUES ACTUELLES ""BLUES EN VAL D'OISE""";ASSOCIATION 95 EVENEMENT;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 11 octobre 2012;9000;VAL D'OISE;9000;100,00%;21 RUE D'ANDILLY;95230;SOISY SOUS MONTMORENCY;95;48.9918167,2.2989928
2012;Subventions spécifiques de fonctionnement;GENERATION RESERVOIR;GENERATION RESERVOIR;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 26 janvier 2012;10000;VILLE DE PARIS;10000;100,00%;28 RUE BREGUET;75011;PARIS;75;48.8577688,2.374436
2012;Subventions spécifiques de fonctionnement;QUARTZ 8 - RENOUVELLEMENT MANIFESTATION PRIX MUSIQUES NOUVELLES;QWARTZ;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 29 mars 2012;39450;VILLE DE PARIS;39450;100,00%;53 RUE DE LA FONTAINE AU ROI;75011;PARIS;75;48.8682116,2.3736307
2012;Subventions spécifiques de fonctionnement;BLUES SUR SEINE (CP JUILLET 2012);BLUES SUR SEINE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 12 juillet 2012;25000;YVELINES;25000;100,00%;18 RUE DE GASSICOURT;78200;MANTES LA JOLIE;78;48.991344,1.7095473
2013;Subventions spécifiques de fonctionnement;KIOSQUORAMA (FESTIVAL KIOSQUORAMA - RENOUVELLEMENT 2013);KIOSQUORAMA;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 30 mai 2013;9000;REGION ILE DE FRANCE;9000;100,00%;12-14 RUE OLIVIER METRA;75020;PARIS 20;75;48.8722255,2.394994
2013;Subventions spécifiques de fonctionnement;AFRICOLOR (FESTIVAL AFRICOLOR - RENOUVELLEMENT 2013);AFRICOLOR;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 30 mai 2013;21000;REGION ILE DE FRANCE;21000;100,00%;14 RUE DE CHARTRES;75018;PARIS;75;48.8846133,2.3544242
2013;Subventions spécifiques de fonctionnement;CHROMA (LE GRAND ZEBROCK - NOUVELLE DEMANDE 2013);CHROMA;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 30 mai 2013;50000;SEINE SAINT DENIS;50000;100,00%;2   RUE SAINT JUST;93130;NOISY LE SEC;93;48.8948844,2.4532582
2013;Subventions spécifiques de fonctionnement;ASSOCIATION FORTUNELLA (FESTIVAL LA FERME ELECTRIQUE - NOUVELLE DEMANDE 2013);ASSOCIATION FORTUNELLA;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 30 mai 2013;2800;TOURNAN-EN-BRIE;2800;100,00%;101 RUE DE PARIS;77220;TOURNAN-EN-BRIE;77;48.7385799,2.7516577
2013;Subventions spécifiques de fonctionnement;ASSOCIATION PREMIER DRAGON - UN AIR DE VOYAGE (FESTIVAL MUSIQUES ACTUELLES NOUVELLE DEMANDE 2013);ASSOCIATION PREMIER DRAGON;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 4 avril 2013;7000;VAL D'OISE;7000;100,00%;12 ALLEE DES PETITS PAINS;95800;CERGY;95;49.0477032,2.0341873
2013;Subventions spécifiques de fonctionnement;SONIC PROTEST FESTIVAL 2013 RENOUVELLEMENT;SONIC PROTEST;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 4 avril 2013;8000;VILLE DE PARIS;8000;100,00%;35 PASSAGE DU DESIR;75010;PARIS;75;48.8737674,2.3550144
2014;Subventions spécifiques de fonctionnement;CHROMA LE GRAND ZEBROCK - RENOUVELLEMENT 2014;ASSOCIATION CHROMA;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 10 avril 2014;50000;SEINE SAINT DENIS;50000;100,00%;2 RUE SAINT JUST;93130;NOISY-LE-SEC;93;48.8948931,2.4532359
2014;Subventions spécifiques de fonctionnement;TOUCHES DE JAZZ (FESTIVAL TOUCHES DE JAZZ - NOUVELLE DEMANDE 2014);TOUCHES DE JAZZ;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 18 juin 2014;2500;BEYNES;2500;100,00%;PLACE DU 8 MAI 1945;78650;BEYNES;78;48.855911,1.8753182
2014;Subventions spécifiques de fonctionnement;FESTIVAL AU FIL DES VOIX - LE RENDEZ VOUS DES MUSIQUES DU MONDE;FESTIVAL AU FIL DES VOIX - LE RENDEZ VOUS DES MUSIQUES DU MONDE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 30 janvier 2014;10000;VILLE DE PARIS;10000;100,00%;23 RUE DES FONTAINES DU TEMPLE;75003;PARIS;75;48.8656446,2.3580685
